date,classification_cost,penalty_cost,delivery_cost,total_cost,containers_loaded,containers_available
2025-06-01,3325000.0,19440.0,3262000.0,6606440.0,110,650
2025-06-02,3360000.0,26655.0,3472000.0,6858655.0,110,650
2025-06-03,3360000.0,26190.0,3402000.0,6788190.0,110,650
2025-06-04,3255000.0,30780.0,3542000.0,6827780.0,110,650
2025-06-05,3150000.0,23925.0,3262000.0,6435925.0,110,650
2025-06-06,3150000.0,15375.0,3682000.0,6847375.0,110,650
2025-06-07,2835000.0,34545.0,3122000.0,5991545.0,110,650
2025-06-08,3325000.0,30450.0,3402000.0,6757450.0,110,650
2025-06-09,3150000.0,29850.0,3192000.0,6371850.0,110,650
2025-06-10,3325000.0,35310.0,3262000.0,6622310.0,110,650
2025-06-11,3115000.0,36075.0,3402000.0,6553075.0,110,650
2025-06-12,3150000.0,37590.0,3122000.0,6309590.0,110,650
2025-06-13,3395000.0,24825.0,3192000.0,6611825.0,110,650
2025-06-14,3080000.0,28755.0,3822000.0,6930755.0,110,650
2025-06-15,3080000.0,31650.0,3227000.0,6338650.0,110,650
2025-06-16,3150000.0,34275.0,3402000.0,6586275.0,110,650
2025-06-17,3080000.0,28185.0,3052000.0,6160185.0,110,650
2025-06-18,2870000.0,25260.0,3262000.0,6157260.0,110,650
2025-06-19,3395000.0,29820.0,3857000.0,7281820.0,110,650
2025-06-20,3115000.0,31815.0,3402000.0,6548815.0,110,650
2025-06-21,3150000.0,33510.0,3192000.0,6375510.0,110,650
2025-06-22,3290000.0,29385.0,3402000.0,6721385.0,110,650
2025-06-23,3220000.0,26205.0,3122000.0,6368205.0,110,650
2025-06-24,3220000.0,27705.0,3822000.0,7069705.0,110,650
2025-06-25,3220000.0,23295.0,3402000.0,6645295.0,110,650
2025-06-26,3325000.0,14940.0,3542000.0,6881940.0,110,650
2025-06-27,3255000.0,33825.0,3052000.0,6340825.0,110,650
2025-06-28,3150000.0,25875.0,3262000.0,6437875.0,110,650
2025-06-29,3185000.0,19785.0,3402000.0,6606785.0,110,650
2025-06-30,3290000.0,17955.0,3262000.0,6569955.0,110,650
